,Path,Canonical,Transcript
18,test/dr2/mabw0/si1664,dh ae r w er ah dh er f aa r m hh aw z ih z n ih r b ay,dh eh w er ah dh ih f aa r m hh aw z ah z n ih r b ay
19,test/dr2/mabw0/si2294,jh ah s t l ao ng ih n ah f t uw m ey k y uw f iy l ih m p ao r t ah n t,jh ih s t l aa ng ih n ah f t ah m ey k y ih f ih l m p ao r n t
20,train/dr3/madc0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh iy hh eh d y er d aa r s uw t ih n g r iy s iy w ao sh w ao dh er ao l y ih er
21,train/dr3/madc0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ow n ae s m iy t ih k ih r iy ih n oy l ih r ae g l ay dh ae
22,train/dr3/madc0/sx287,ih n dh ah l ao ng r ah n ih t p ey z t uw b ay k w aa l ih t iy k l ow dh ih ng,ih n dh ah l ao ng r ah n ih p ey z t ih b ay k w aa l ih dh iy k l ow dh iy ng
23,train/dr3/madc0/sx17,k aa r l l ih v z ih n ah l ay v l iy hh ow m,k aa r l ih v s ih n ah l ay v l ih hh ow m
24,train/dr3/madc0/sx197,d r ao iy ch g r ae f ao n ah n uw ae k s ih s,d r ao iy ch g r ae f ah n ih n uw ae s ih s
25,train/dr3/madc0/sx377,sh iy ao l w ey z jh ow k s ah b aw t t uw m ah ch g aa r l ih k ih n hh ih z f uw d,sh iy ao ih z jh y ow k s ah b aw t uw m ah ch g aa r l ih ih n hh ih z f uw
26,train/dr3/madc0/sx107,b er th d ey p aa r t iy z hh ae v k ah p k ey k s ae n d ay s k r iy m,b er th dh ey p aa r dh iy z hh ae v k ah k ey k s ih n ay s k r iy m
27,train/dr3/madc0/si737,hh ae v ah t eh s t r ah n ao n dh ah f ae m l iy f er s t t uw b iy sh uh r t ay m ih ng ae n d s iy z n ih ng aa r r ay t,hh ae v ey t eh s t r ah n ao n dh ah f ae m l iy f er s t t uw b iy sh er t ay m iy n ih n s iy z n iy n aa r ay
28,train/dr3/madc0/si1367,dh ah b ae t er iy m iy d iy ah n g r ey d ih k w ih v l ah n t w ah z y uw z d ih n d ey t ah ah n ae l ih s ih s ih n dh ih s s t ah d iy,dh ih b ae dh er iy m iy dh iy ih n g r ey dh iy k w ih v ah l ih n w ih z y uw z d ih n d ae dh eh n ae l ah s ih s ih n ih s t ah dh iy
29,train/dr3/madc0/si1997,l ay k ae z ih f ih t w er b ih l t ah v b uh k s,l ay ih z ih f ih w er b ih l ah v b uh s
30,train/dr7/madd0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh iy hh ae y er d aa r k s uw t ih n g r iy s iy w ao sh w ao dh er ao l y ih er
31,train/dr7/madd0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ow n ae s m iy dh ih k eh r iy ih n oy l iy r ae g l ay dh ae t
32,train/dr7/madd0/sx88,f l ay ih ng s t ae n d b ay k ae n b iy p r ae k t ih k l ih f y uw w ao n t t uw s ey v m ah n iy,f l ay ih ng s t ae n b ay k ih n b iy p r ae t ah k l ih f y uw w aa n t uw s ey v m ah n iy
33,train/dr7/madd0/sx268,dh ah jh ao aa p er ey t s b ay y uw z ih ng ae n t ae g ah n ih s t ih k m ah s l z,dh ih jh ao aa p er r ey s b ay y uw z iy ng ae n t ae ih n ih s t ih m ah s l z
34,train/dr7/madd0/sx448,s f ih r ih k l g ih f t s aa r d ih f ih k ah l t t uw r ae p,s f ih r ih k l g ih f s aa r d ih f ih k l t uw r ae p
35,train/dr7/madd0/sx178,sh iy ih n k er ih jh d hh er ch ih l d r ah n t uw m ey k dh ae r ow n hh ae l ow iy n k aa s t uw m z,sh iy ih ng k er ih jh hh er ch ih l d er n t uw m ey dh eh r ow n hh aa l ah w iy n k aa s t uw m z
36,train/dr7/madd0/sx358,jh ao r jh s eh l d ah m w aa ch ih z d ey t ay m m uw v iy z,jh ao er jh s eh l d ah m w aa ch ih z d ey t ay m uw v iy z
37,train/dr7/madd0/si538,k aw n t iy ah f ih sh l z hh ae v k ow aa p er ey t ih d k ah n s ih s t ih n t l iy,k aw n iy ih f ih sh l z hh ae v k ow ao p er ey dh ih k n s ih s t n l iy
38,train/dr7/madd0/si1295,hh iy m ey g eh t ah t ae k s r iy f ah n d,hh iy m ey g ih dh ih t ae k s r iy f ah n d
39,train/dr7/madd0/si1798,w ih l b ow th b iy b l ow ih ng t aw n t ah m aa r ow s ow w iy w ow n t b iy m uw v ih ng ih n ao n y uw,w ih l b ow th b iy b l ow ih ng t aw n t m ao r ow s ow w ih w ow n b iy m uw v iy ng ih n ao n y uw
40,test/dr4/fadg0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh iy hh ae d y er d aa r k s uw t ih n g r iy s iy w ao sh w ao dh er ao l y ih er
41,test/dr4/fadg0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ow n t ae s m iy t ih k ih r iy eh n oy l iy r ae g l ay k dh ae
42,test/dr4/fadg0/sx199,y ah ng ch ih l d r ah n sh uh d ah v oy d ih k s p ow zh er t uw k ah n t ey jh ih s d ih z iy z ih z,y ah ng ch ih l d r ih n sh uh dh ah v oy d ih k s p ow zh er t ih k ih n t ey jh ih s d ih z iy z ih z
43,test/dr4/fadg0/sx379,p ae m g ih v z d r ay v ih ng l eh s n z ao n th er z d ey z,p ae m g ih v s d r ay v iy ng l eh s n z ao n th er z d ey z
44,test/dr4/fadg0/sx109,sh iy s l ih p t ae n d s p r ey n d hh er ae ng k l ao n dh ah s t iy p s l ow p,sh iy s l ih t eh n s p r ey n hh er ae ng k l ao n dh ih s t iy p s l ow p
45,test/dr4/fadg0/sx289,w eh dh er p r uw f g ah l aa sh ih z aa r v eh r iy y uw s f l ih n s iy ae t l,w eh dh er p r uw f g ah l aa sh ih z er v er r iy y uw s f ah l ih n s iy ae dh l
46,test/dr4/fadg0/sx19,ah l uw m ih n ah m s ih l v er w ae r k ae n ao f ah n b iy f l ih m z iy,eh l uw m ih n ah m s ih l v uw w eh er k eh n ao f ih n b iy f l ih m z iy
47,test/dr4/fadg0/si649,ih t s ah f er z f r ah m ah l ae k ah v y uw n ih t iy ah v p er p ah s ae n d r ih s p eh k t f ao r hh ih r ow ih k l iy d er sh ih p,ih s ah f er z f r ah m ah l ae k ih v y uw n ih t iy ah v p er p ih s eh n r ih s p eh t f er hh er r ow ih k l iy dh er sh ih p
48,test/dr4/fadg0/si1279,b r ih k s aa r ae n ao l t er n ih t ih v,b r ih k s aa r er n ao l t er n ih t ih v
49,test/dr4/fadg0/si1909,f ae t sh ow d ih n l uw s r ow l z b ih n iy th dh ah sh er t,f ae sh ow d ih n l uw s r ow l z b ih n iy th ih sh er
50,train/dr4/maeb0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh iy hh eh jh er d aa r k s uw dh ih ng g r iy s ih w ao sh w ao dh er ao l y ih er
51,train/dr4/maeb0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ow n ae s m ih t uw k eh r iy eh n ow l iy r ae g l ay dh ey eh t
52,train/dr4/maeb0/sx90,dh ah th ih ng k er ih z ah f ey m ah s s k ah l p ch er,dh ih th ih ng k er z ah f ey m ah s k ah l ch er
53,train/dr4/maeb0/sx270,aa r hh aa l ih d ey ey p r ah n z ah v ey l ih b l t uw ah s,aa r hh aa l eh d ey ey p r ih n z ah v ey l ah b l t uw ah s
54,train/dr4/maeb0/sx450,r oy ih g n ao r d dh ah s p y uh r iy ah s d ey t ah p oy n t s ih n d r ao ih ng dh ah g r ae f,r oy ih n ao r dh ih s p er iy ih s d ey dh ih p oy s ih n d r ao ih ng dh ih g r ae f
55,train/dr4/maeb0/sx180,ao l m ow s t ao l k aa l ih jh z aa r n aw k ow eh jh ih k ey sh ih n l,ao l m ow s t ao l k ao l ih jh ih z aa r n ae k ow eh jh ah k ey sh n l
56,train/dr4/maeb0/sx360,ay ah s uw m m oy s ch er w ih l d ae m ih jh dh ih s sh ih p s hh ah l,ay ah s uw m ao r sh ch er w l d eh m ih jh dh ih sh ih s hh ah l
57,train/dr4/maeb0/si990,ae n d dh iy z hh aa r d iy t r ae v l er z aa r n aa t ah n ah p r iy sh iy ey t ih d t ih d ey,ae n dh iy z hh aa r dh iy t r ae l er z aa r n aa dh ah n ah p r iy sh iy ey dh ih t ah d ey
58,train/dr4/maeb0/si1411,r ih z aa l v d dh ae t dh ah ae n t ay s l ey v er iy s eh n t ah m ah n t ih z b ih k ah m ih ng r ay p f ao r r eh z ah l uw t ae k sh ih n,r ih z aa l v dh eh dh iy ae n ih s l ey v r iy s ih n ih m ah n ih z b iy k ah m ih ng r aa p f er r eh z ah l uw dh ae sh n
59,train/dr4/maeb0/si2250,ao l y uh r w ih sh f uh l th ih ng k ih ng w ow n t ch ey n jh dh ae t,ao l y ow w ih sh f l th ih ng k ih ng w ow n ch ey n jh dh ey eh t
60,train/dr2/faem0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh iy hh eh jh er d aa r k s uw ih n g r iy s iy w ao sh w ao dh er ao l y ih er
61,train/dr2/faem0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ow n ae s m iy t ih k ih r iy ih n oy l iy r ae g l ay k dh ae t
62,train/dr2/faem0/sx312,dh ow z ae n s er z w ih l b iy s t r ey t f ao r w er d ih f y uw th ih ng k dh eh m th r uw k ae r f uh l iy f er s t,dh ow z ae n s er z w l b iy s t r ey f ao w er dh ih f y uw th iy ng k dh ih m th r uw k eh r f l iy f er s t
63,train/dr2/faem0/sx42,b ih b l ih k l s k aa l er z aa r g y uw hh ih s t er iy,b ih b l ih k l s k aa l er z aa r g y uw hh ih s t r iy
64,train/dr2/faem0/sx222,y uw ao l w ey z k ah m ah p w ih dh p ae th ah l aa jh ih k l ih g z ae m p l z,y uw ao l w ih z k ah m ah p w ih th p ae th ah l aa jh ih k l ih g z ae m p l s
65,train/dr2/faem0/sx402,w ih l s er v r uw b aa r b p ay ae f t er r ey ch l z t ao k,w ih l s er v r uw b aa r p ay ae f t er r ey ch l z t ao k
66,train/dr2/faem0/sx132,p ah b l ih s ih t iy ae n d n ow t er ay ah t iy g ow hh ae n d ih n hh ae n d,p ah b l ih s ih dh iy eh n ow dh er r ay ih dh iy g ow hh ae n d ih n hh ae n d
67,train/dr2/faem0/si762,f ih l s m ao l hh ow l ih n b ow l w ih dh k l ey,f ih l s m ao l hh ow l ih n b ow l w ih th k l ey
68,train/dr2/faem0/si1392,ah s uw m f ao r ih g z ae m p l ah s ih ch uw ey sh ih n hh w ae r ah f aa r m hh ae z ah p ae k ih ng sh eh d ae n d f iy l d z,ah s uw m f ao r ih z ae m p uh l ah s ih ch uw ey sh n w eh er f aa r m hh eh z ah p ae k iy ng sh eh d ae n d f iy l s
69,train/dr2/faem0/si2022,hh w aa t aw t f ih t d ah z sh iy d r ay v f ao r,w ah dh aw f ih d uh sh iy d r ay v f ao
70,train/dr7/maeo0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh iy hh ae d uw d aa r k s uw dh ih n g r iy s iy w aa sh w ao dh er ao l y ih er
71,train/dr7/maeo0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ow n ae s m iy dh ih k eh r iy ih n ow l iy r ae g l ay dh ae
72,train/dr7/maeo0/sx246,hh aw ey n sh ih n t ih z dh ih s s ah b w ey eh s k ah l ey t er,hh aw ey n sh ih n ih z ih s ah w ey eh s k ah l ey dh er
73,train/dr7/maeo0/sx426,ah m ao th z ih g z ae g d ah l ao ng dh ah p ae th th r uw aa t ow z g aa r d n,ah m ao th z ih g z ae d ah l ao ng dh ah p ae th th r uw ao dh ow z g aa r dh n
74,train/dr7/maeo0/sx156,aw r eh k s p eh r ah m ah n t s p aa z ih t ih v aw t k ah m w ah z ah n ih k s p eh k t ih d,aa r k s p er m ih n s p aa z ih v aw t k ah m w ah z ah n ih k s p eh t ih
75,train/dr7/maeo0/sx336,r aa b m ey d hh ah ng g eh r iy ah n g uw l aa sh f ao r d ih n er ae n d g uw s b eh r iy p ay f ao r d ih z er t,r aa m ey d hh ah ng g eh r iy ng g uw l aa sh f d ih n er ih ng g uw s b er ih p ay f er d ih z er
76,train/dr7/maeo0/sx66,w iy g aa t d r eh n ch t f r ah m dh ah ah n ih n t er ah p t ih d r ey n,w iy g aa d r eh n ch f r ah m dh iy ah n ah n er ah t ih d r ey n
77,train/dr7/maeo0/si1655,s ow hh iy ah n d er s t uh d hh er p ae n ih k,s ow hh iy ih n ih s t er d hh er p ae n ih k
78,train/dr7/maeo0/si1326,dh ah l aa r v iy k eh p t w ao r m b ay dh ah k w iy n aa r f uh l g r ow n ih n ah b aw t t eh n d ey z,dh ah l aa r v ah k eh p w ao r m b ay dh ih k w iy n aa r f l g r ow n ah n er b aw t eh n d ey z
79,train/dr7/maeo0/si1956,ah s ih ng g l k ih k m ey d ih t s p r ih ng ow p ah n sh ah d er ih ng,ah s ih ng g l k ih m ey dh ih s p r ih ng ow p ah n sh ah dh er ih n
80,train/dr7/mafm0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh iy hh ae d y er d aa r k s uw dh ih ng g r iy s iy w aa sh w ao dh er ao l y ih er
81,train/dr7/mafm0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ow n ae s m iy dh ih k eh r iy ih n oy l iy r ae g l ay dh ae
82,train/dr7/mafm0/sx39,b aa r b z g ow l d b r ey s l ih t w ah z ah g r ae jh uw ey sh ih n p r eh z n t,b aa r b z g ow l b r ey s l ih w ah z ih g r ae jh ih w ey sh n p r eh z ah n
83,train/dr7/mafm0/sx219,n aa n p r aa f ah t ao r g ih n ih z ey sh ih n z hh ae v f r iy k w ah n t f ah n d r ey z er z,n aa n p r aa f ah t ao r g ih n ih z ey sh ih n z hh eh f r iy k w ah n f ah n r ey z er s
84,train/dr7/mafm0/sx399,dh ey ah s uw m n ow b er g l er w ih l eh v er eh n t er hh ih r,dh ey ih s uw m n ow b er g l er w ah l eh v er eh n t er hh ih er
85,train/dr7/mafm0/sx129,ae ng g ao r ah k ae t s aa r f er iy er dh ae n s ay ah m iy z,eh ng g ao r ih k ae t s er f er iy er dh eh n s ay ih m iy z
86,train/dr7/mafm0/sx309,dh ah p r uw f dh ae t y uw aa r s iy k ih ng ih z n aa t ah v ey l ih b l ih n b uh k s,dh ah p r uw f dh eh y uw aa r s iy k ih ng ih z n aa ah v ey l b l ah n b uh k s
87,train/dr7/mafm0/si939,ih m p r eh sh ih n z ao f ah n ah p ih r ih n ah s ih m b aa l ih k f ao r m ae n d k ae n aa t b iy t ey k ih n ae t f ey s v ae l y uw,ih m p r eh sh ih n z aa f ah n ah p ih r ih n ah s ah m b aa l ih f ao r m n k ih n aa b iy t ey k ih n eh f ey s v ae l y uw
88,train/dr7/mafm0/si1569,dh ih s ih z aw r s ih ng g y uh l er g ow l,dh ih s ih z aa r s ih ng y ih l er g ow l
89,train/dr7/mafm0/si2199,w ih l y uw t eh l m iy hh w ay,w ih y ih t eh l m iy w ay
90,test/dr5/mahh0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh iy hh ae y er d aa k s uw ih ng g r iy s iy w aa sh w ao dh ah ao l y ih er
91,test/dr5/mahh0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ow n t ah ae s m iy t ih k eh r iy eh n ao l iy r ae g l ay dh ae
92,test/dr5/mahh0/sx214,dh ah m ao r n ih ng d uw ao n dh ah s p ay d er w eh b g l ih s n d ih n dh ah s ah n,dh ah m ao n ih ng d uw ao n dh ih s p ay dh er w eh g l ih s ih n d ih ih n dh ah s ah n
93,test/dr5/mahh0/sx394,k ae l s iy ah m m ey k s b ow n z ae n d t iy th s t r ao ng,k ae l s iy ah m ey k s b ow n z ih n t iy sh s t r ao ng
94,test/dr5/mahh0/sx124,aa b jh eh k t s m ey d ah v p y uw t er aa r b y uw t ih f l,aa jh ih s m ey d ah v p y uw dh er aa b y uw dh ah f l
95,test/dr5/mahh0/sx304,ch iy p s t aa k ih ng z r ah n dh ah f er s t t ay m dh ae r w ao r n,ch iy p s t aa k ih n z r ah n dh ah f er s t ay m dh eh r w ao r n
96,test/dr5/mahh0/sx34,d ow n t d uw ch aa r l iy z d er t iy d ih sh ih z,d ow n d uw ch aa l iy z d er dh iy d ih sh ih z
97,test/dr5/mahh0/si664,l uh k ae t dh ah th ih ng z w iy d uw t uw eh s k ey p aw r f ih r z ae n d t uw f ao r g eh t aw r w er iy z,l uh k ae dh ih th ih ng z w iy d uw t uw ih s k ey p aa r f ih er z eh n t ah f er g eh dh aa r w er ih z
98,test/dr5/mahh0/si1294,ih f y uw aa r ah l ay f t eh n ih n t y uw d ah d ah k t ah l aw ah b l d ih p r iy sh iy ey sh ih n ae n d d ih p l iy sh ih n,ih f y uw aa r ah l ay f t eh n ih n y uw d ih d ah ah l aw b l d ih p r iy sh iy ey sh ih n ae n d ih p l iy sh n
99,test/dr5/mahh0/si1924,g eh t ih ng dh ah b ao s r ae t l s n ey k t uw hh eh l p y uw,g eh dh ih ng dh ih b ao s r ae dh l s n ey t uh hh eh l p y uw
100,test/dr8/majc0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh iy hh ae jh er d aa r k s uw dh ih n g r iy s iy w aa sh w ao dh er ao l y ih er
101,test/dr8/majc0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ow n ae s m iy dh ih k eh r iy ih n oy l iy r ae g l ay d ae
102,test/dr8/majc0/sx385,hh ih z sh ow l d er f eh l t ae z ih f ih t w er b r ow k ih n,hh ih sh ow l d er f eh l t ae z ih f ih w er b r ow k ih n
103,test/dr8/majc0/sx115,dh ah eh m b l ah m d ih p ih k t s dh ah ah k r aa p l ah s ao l ah g l ow,dh iy eh m b l ah m d ih p ih s iy ih k r aa p l ih s ao l ah g l ow
104,test/dr8/majc0/sx295,ih f k ae r l k ah m z t ah m aa r ow hh ae v hh er ah r ey n jh f ao r ah m iy t ih ng ae t t uw,ih f k ae r ah l k ah m z t ih m aa r ow hh ae v er er r ey n jh f er m iy dh iy ng ih t uw
105,test/dr8/majc0/sx25,ow n l iy l ao y er z l ah v m ih l y ah n ae r z,ow n l ih l oy er z l ah v m ih l y ih n eh er z
106,test/dr8/majc0/sx205,m ih l ih t eh r iy p er s ih n eh l aa r eh k s p eh k t ih d t uw ow b ey g ah v er n m ah n t ao r d er z,m ih l ih t eh r iy p er s n eh l aa er k s p eh t ih t uw ow b ey g ah v m ah n ao r dh er s
107,test/dr8/majc0/si835,s ey l z m ah n sh ih p ih z s t ih l n eh s ih s eh r iy b ah t ih t s ah d ih f er ah n t b r ae n d ah v s ey l z m ah n sh ih p,s ey l z m ah n sh ih p ih s t ih l n eh s ih s eh r iy b ah dh ih s ah d ih f er n b r ae n d ah v s ey l z m n sh ih
108,test/dr8/majc0/si1946,dh ah r ah s l ih ng p r aa b l ah m w ah z b ay n ow m iy n z s ao l v d,dh er r ah s l ih ng p r aa b l ah m w ah z b ay n ow m iy n s ao l v d
109,test/dr8/majc0/si2095,m ay d ae d d ih d ih t ae n d hh iy l ih v d t uw ah g r ey t ey jh,m ay d ae d ih dh ih n hh iy l ih v t uw ah g r ey dh ey jh
110,train/dr6/majp0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh ih hh ae jh er d aa r k s uw dh ih ng g r iy s ih w aa sh w ah dh er ao l y ih er
111,train/dr6/majp0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ah n eh s m ih dh ih k ae r ih ih n oy l iy r ae g l ay dh ae
112,train/dr6/majp0/sx174,dh ah hh ao n t ih d hh aw s w ah z ah hh ih t d uw t uw aw t s t ae n d ih ng ao d iy ow v ih zh uw l ih f eh k t s,dh ah hh ao n t ih d hh aw s w ah z eh hh ih d uw t uw aw t s t ae n ih ng ao dh iy ow v ih zh uw l ah f eh k th
113,train/dr6/majp0/sx354,ah l ao y er w ah z ah p oy n t ih d t uw eh k s ih k y uw t hh er w ih l,ey l oy er w ah dh ah p oy n t ih t ih eh k s ih k y uw hh er w ih l
114,train/dr6/majp0/sx84,k ow aa p er ey sh ih n ah l ao ng w ih dh ah n d er s t ae n d ih ng ah l iy v iy ey t d ih s p y uw t,k ow ah p er ey sh ih n ah l ao ng w ih ah n d er s t ae n d ih ng eh l iy v y ey d ih s p y uw t
115,train/dr6/majp0/sx264,w iy s ao ey t t ay n iy ay s ih k l z b ah l ow aw r r uw f,w ih s ao ey t ay n iy ay s ih k ah l z b ih l ow aw er r uw f
116,train/dr6/majp0/sx444,dh ah t aa d l er f aw n d ah k l ae m sh eh l n ih r dh ah k ae m p s ay t,dh ah t aa l er f aw n d ah k l ae m sh eh l n ih r dh ih k ae m p s ay
117,train/dr6/majp0/si1074,hh iy g ey z d ah w ey f r ah m ah s ae z w iy ah p r ow ch t,hh iy g ey z d ah w ey f r ah m ah s eh z w iy ih p r ow ch d
118,train/dr6/majp0/si1704,y uh r ah t ae k s p ey er hh aw s hh ow l d er l ae n d l ao r d,y er ih t ae k s p ey er hh aw s hh ow l d er l ae n l ao r d
119,train/dr6/majp0/si2334,b ah t ay m s ow s ah n b er n d dh ae t eh v r iy m uw v ay m ey k ih z ae g ih n iy,b ah dh ay m s ow s ah n b er n dh eh eh v r ih m uw v ay m ey k ih z ae ih n iy
120,train/dr2/fajw0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh iy hh ae jh er d aa r k s uw t ih ng g r iy s iy w ao sh w ao dh er ao l y ih er
121,train/dr2/fajw0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ow n t ah ae s m ih t ih k eh r iy ih n oy l iy r ae g l ay dh ae t
122,train/dr2/fajw0/sx183,hh w ay eh l s w uh d d ae n iy ah l aw ah dh er z t uw g ow,w ay eh l s w uh d ae n iy ah l aw ah dh er z t ih g ow
123,train/dr2/fajw0/sx363,dh ah k aw w aa n d er d f r ah m dh ah f aa r m l ae n d ae n d b ih k ey m l ao s t,dh ih k aw w aa n d er f ah m dh ah f aa r m l ae n d ih n b ih k ey m l ao s
124,train/dr2/fajw0/sx93,k ah t ah s m ao l k ao r n er ao f iy ch eh jh,k ah t ih s m ao l k ao n er ao f iy ch eh jh
125,train/dr2/fajw0/sx273,dh ah ae ng g r iy b oy ae n s er d b ah t d ih d n t l uh k ah p,dh ih ae ng g r iy b oy ae n s er b ih d ih d n l uh k ah
126,train/dr2/fajw0/sx3,dh ih s w ah z iy z iy f ao r ah s,dh ih s w ah z iy z iy f ao r ah s
127,train/dr2/fajw0/si633,hh iy l ay k t t uw n ih p ih r l ow b z ah v ah n s ah s p eh k t ih ng v ih z ih t er z w ih dh hh ih z n iy d l sh aa r p t iy th,hh iy l ay t ih n ih p ih r l ow b z ah v ah n s ah s p eh t ih ng v ih z ih d er z w ih th ih z n iy d l sh aa r t iy th
